id,category_l,category_s,length,fit
433,하의,코트,맥시,노멀
434,하의,코트,맥시,루즈
435,하의,코트,맥시,오버사이즈
436,하의,재킷,,
437,하의,재킷,,타이트
438,하의,재킷,,노멀
439,하의,재킷,,루즈
440,하의,재킷,,오버사이즈
441,하의,재킷,크롭,
442,하의,재킷,크롭,타이트
443,하의,재킷,크롭,노멀
444,하의,재킷,크롭,루즈
445,하의,재킷,크롭,오버사이즈
446,하의,재킷,노멀,
447,하의,재킷,노멀,타이트
448,하의,재킷,노멀,노멀
449,하의,재킷,노멀,루즈
450,하의,재킷,노멀,오버사이즈
451,하의,재킷,하프,
452,하의,재킷,하프,타이트
453,하의,재킷,하프,노멀
454,하의,재킷,하프,루즈
455,하의,재킷,하프,오버사이즈
456,하의,재킷,롱,
457,하의,재킷,롱,타이트
458,하의,재킷,롱,노멀
459,하의,재킷,롱,루즈
460,하의,재킷,롱,오버사이즈
461,하의,재킷,맥시,
462,하의,재킷,맥시,타이트
463,하의,재킷,맥시,노멀
464,하의,재킷,맥시,루즈
465,하의,재킷,맥시,오버사이즈
466,하의,점퍼,,
467,하의,점퍼,,타이트
468,하의,점퍼,,노멀
469,하의,점퍼,,루즈
470,하의,점퍼,,오버사이즈
471,하의,점퍼,크롭,
472,하의,점퍼,크롭,타이트
473,하의,점퍼,크롭,노멀
474,하의,점퍼,크롭,루즈
475,하의,점퍼,크롭,오버사이즈
476,하의,점퍼,노멀,
477,하의,점퍼,노멀,타이트
478,하의,점퍼,노멀,노멀
479,하의,점퍼,노멀,루즈
480,하의,점퍼,노멀,오버사이즈
481,하의,점퍼,하프,
482,하의,점퍼,하프,타이트
483,하의,점퍼,하프,노멀
484,하의,점퍼,하프,루즈
485,하의,점퍼,하프,오버사이즈
486,하의,점퍼,롱,
487,하의,점퍼,롱,타이트
488,하의,점퍼,롱,노멀
489,하의,점퍼,롱,루즈
490,하의,점퍼,롱,오버사이즈
491,하의,점퍼,맥시,
492,하의,점퍼,맥시,타이트
493,하의,점퍼,맥시,노멀
494,하의,점퍼,맥시,루즈
495,하의,점퍼,맥시,오버사이즈
496,하의,패딩,,
497,하의,패딩,,타이트
498,하의,패딩,,노멀
499,하의,패딩,,루즈
500,하의,패딩,,오버사이즈
501,하의,패딩,크롭,
502,하의,패딩,크롭,타이트
503,하의,패딩,크롭,노멀
504,하의,패딩,크롭,루즈
505,하의,패딩,크롭,오버사이즈
506,하의,패딩,노멀,
507,하의,패딩,노멀,타이트
508,하의,패딩,노멀,노멀
509,하의,패딩,노멀,루즈
510,하의,패딩,노멀,오버사이즈
511,하의,패딩,하프,
512,하의,패딩,하프,타이트
513,하의,패딩,하프,노멀
514,하의,패딩,하프,루즈
515,하의,패딩,하프,오버사이즈
516,하의,패딩,롱,
517,하의,패딩,롱,타이트
518,하의,패딩,롱,노멀
519,하의,패딩,롱,루즈
520,하의,패딩,롱,오버사이즈
521,하의,패딩,맥시,
522,하의,패딩,맥시,타이트
523,하의,패딩,맥시,노멀
524,하의,패딩,맥시,루즈
525,하의,패딩,맥시,오버사이즈
526,하의,베스트,,
527,하의,베스트,,타이트
528,하의,베스트,,노멀
529,하의,베스트,,루즈
530,하의,베스트,,오버사이즈
531,하의,베스트,크롭,
532,하의,베스트,크롭,타이트
533,하의,베스트,크롭,노멀
534,하의,베스트,크롭,루즈
535,하의,베스트,크롭,오버사이즈
536,하의,베스트,노멀,
537,하의,베스트,노멀,타이트
538,하의,베스트,노멀,노멀
539,하의,베스트,노멀,루즈
540,하의,베스트,노멀,오버사이즈
541,하의,베스트,하프,
542,하의,베스트,하프,타이트
543,하의,베스트,하프,노멀
544,하의,베스트,하프,루즈
545,하의,베스트,하프,오버사이즈
546,하의,베스트,롱,
547,하의,베스트,롱,타이트
548,하의,베스트,롱,노멀
549,하의,베스트,롱,루즈
550,하의,베스트,롱,오버사이즈
551,하의,베스트,맥시,
552,하의,베스트,맥시,타이트
553,하의,베스트,맥시,노멀
554,하의,베스트,맥시,루즈
555,하의,베스트,맥시,오버사이즈
556,하의,가디건,,
557,하의,가디건,,타이트
558,하의,가디건,,노멀
559,하의,가디건,,루즈
560,하의,가디건,,오버사이즈
561,하의,가디건,크롭,
562,하의,가디건,크롭,타이트
563,하의,가디건,크롭,노멀
564,하의,가디건,크롭,루즈
565,하의,가디건,크롭,오버사이즈
566,하의,가디건,노멀,
567,하의,가디건,노멀,타이트
568,하의,가디건,노멀,노멀
569,하의,가디건,노멀,루즈
570,하의,가디건,노멀,오버사이즈
571,하의,가디건,하프,
572,하의,가디건,하프,타이트
573,하의,가디건,하프,노멀
574,하의,가디건,하프,루즈
575,하의,가디건,하프,오버사이즈
576,하의,가디건,롱,
577,하의,가디건,롱,타이트
578,하의,가디건,롱,노멀
579,하의,가디건,롱,루즈
580,하의,가디건,롱,오버사이즈
581,하의,가디건,맥시,
582,하의,가디건,맥시,타이트
583,하의,가디건,맥시,노멀
584,하의,가디건,맥시,루즈
585,하의,가디건,맥시,오버사이즈
586,하의,집업,,
587,하의,집업,,타이트
588,하의,집업,,노멀
589,하의,집업,,루즈
590,하의,집업,,오버사이즈
591,하의,집업,크롭,
592,하의,집업,크롭,타이트
593,하의,집업,크롭,노멀
594,하의,집업,크롭,루즈
595,하의,집업,크롭,오버사이즈
596,하의,집업,노멀,
597,하의,집업,노멀,타이트
598,하의,집업,노멀,노멀
599,하의,집업,노멀,루즈
600,하의,집업,노멀,오버사이즈
601,하의,집업,하프,
602,하의,집업,하프,타이트
603,하의,집업,하프,노멀
604,하의,집업,하프,루즈
605,하의,집업,하프,오버사이즈
606,하의,집업,롱,
607,하의,집업,롱,타이트
608,하의,집업,롱,노멀
609,하의,집업,롱,루즈
610,하의,집업,롱,오버사이즈
611,하의,집업,맥시,
612,하의,집업,맥시,타이트
613,하의,집업,맥시,노멀
614,하의,집업,맥시,루즈
615,하의,집업,맥시,오버사이즈
616,아우터,,,
617,아우터,,,타이트
618,아우터,,,노멀
619,아우터,,,루즈
620,아우터,,,오버사이즈
621,아우터,,미니,
622,아우터,,미니,타이트
623,아우터,,미니,노멀
624,아우터,,미니,루즈
625,아우터,,미니,오버사이즈
626,아우터,,니렝스,
627,아우터,,니렝스,타이트
628,아우터,,니렝스,노멀
629,아우터,,니렝스,루즈
630,아우터,,니렝스,오버사이즈
631,아우터,,미디,
632,아우터,,미디,타이트
633,아우터,,미디,노멀
634,아우터,,미디,루즈
635,아우터,,미디,오버사이즈
636,아우터,,발목,
637,아우터,,발목,타이트
638,아우터,,발목,노멀
639,아우터,,발목,루즈
640,아우터,,발목,오버사이즈
641,아우터,,맥시,
642,아우터,,맥시,타이트
643,아우터,,맥시,노멀
644,아우터,,맥시,루즈
645,아우터,,맥시,오버사이즈
646,아우터,드레스,,
647,아우터,드레스,,타이트
648,아우터,드레스,,노멀
649,아우터,드레스,,루즈
650,아우터,드레스,,오버사이즈
651,아우터,드레스,미니,
652,아우터,드레스,미니,타이트
653,아우터,드레스,미니,노멀
654,아우터,드레스,미니,루즈
655,아우터,드레스,미니,오버사이즈
656,아우터,드레스,니렝스,
657,아우터,드레스,니렝스,타이트
658,아우터,드레스,니렝스,노멀
659,아우터,드레스,니렝스,루즈
660,아우터,드레스,니렝스,오버사이즈
661,아우터,드레스,미디,
662,아우터,드레스,미디,타이트
663,아우터,드레스,미디,노멀
664,아우터,드레스,미디,루즈
665,아우터,드레스,미디,오버사이즈
666,아우터,드레스,발목,
667,아우터,드레스,발목,타이트
668,아우터,드레스,발목,노멀
669,아우터,드레스,발목,루즈
670,아우터,드레스,발목,오버사이즈
671,아우터,드레스,맥시,
672,아우터,드레스,맥시,타이트
673,아우터,드레스,맥시,노멀
674,아우터,드레스,맥시,루즈
675,아우터,드레스,맥시,오버사이즈
676,아우터,점프수트,,
677,아우터,점프수트,,타이트
678,아우터,점프수트,,노멀
679,아우터,점프수트,,루즈
680,아우터,점프수트,,오버사이즈
681,아우터,점프수트,미니,
682,아우터,점프수트,미니,타이트
683,아우터,점프수트,미니,노멀
684,아우터,점프수트,미니,루즈
685,아우터,점프수트,미니,오버사이즈
686,아우터,점프수트,니렝스,
687,아우터,점프수트,니렝스,타이트
688,아우터,점프수트,니렝스,노멀
689,아우터,점프수트,니렝스,루즈
690,아우터,점프수트,니렝스,오버사이즈
691,아우터,점프수트,미디,
692,아우터,점프수트,미디,타이트
693,아우터,점프수트,미디,노멀
694,아우터,점프수트,미디,루즈
695,아우터,점프수트,미디,오버사이즈
696,아우터,점프수트,발목,
697,아우터,점프수트,발목,타이트
698,아우터,점프수트,발목,노멀
699,아우터,점프수트,발목,루즈
700,아우터,점프수트,발목,오버사이즈
701,아우터,점프수트,맥시,
702,아우터,점프수트,맥시,타이트
703,아우터,점프수트,맥시,노멀
704,아우터,점프수트,맥시,루즈
705,아우터,점프수트,맥시,오버사이즈
